amount_tsh,date_recorded,gps_height,basin,region,population,scheme_management,permit,construction_year,extraction_type_class,payment_type,quality_group,quantity_group,source_type,waterpoint_type_group,status_group,month_recorded,age
6000.0,2011-03-14,1390,Lake Nyasa,Iringa,109,VWC,False,1970-01-01 00:00:00.000001999,gravity,annually,good,enough,spring,communal standpipe,functional,3,41
0.0,2013-03-06,1399,Lake Victoria,Mara,280,Other,True,1970-01-01 00:00:00.000002010,gravity,never pay,good,insufficient,rainwater harvesting,communal standpipe,functional,3,43
25.0,2013-02-25,686,Pangani,Manyara,250,VWC,True,1970-01-01 00:00:00.000002009,gravity,per bucket,good,enough,dam,communal standpipe,functional,2,43
0.0,2013-01-28,263,Ruvuma/Southern Coast,Mtwara,58,VWC,True,1970-01-01 00:00:00.000001986,submersible,never pay,good,dry,borehole,communal standpipe,non functional,1,43
20.0,2011-03-13,0,Pangani,Tanga,1,VWC,True,1970-01-01 00:00:00.000002009,submersible,per bucket,salty,enough,other,communal standpipe,functional,3,41
0.0,2012-10-01,0,Internal,Shinyanga,0,VWC,True,1970-01-01 00:00:00.000000000,handpump,never pay,good,enough,borehole,hand pump,non functional,10,42
0.0,2012-11-03,0,Lake Tanganyika,Tabora,0,VWC,True,1970-01-01 00:00:00.000000000,handpump,never pay,salty,seasonal,borehole,hand pump,non functional,11,42
0.0,2011-02-20,62,Wami/Ruvu,Pwani,345,Private operator,False,1970-01-01 00:00:00.000002011,submersible,never pay,salty,enough,borehole,other,functional,2,41
200.0,2013-02-18,1062,Lake Nyasa,Ruvuma,250,WUG,False,1970-01-01 00:00:00.000001987,handpump,on failure,good,insufficient,shallow well,hand pump,functional,2,43
0.0,2012-10-14,0,Internal,Shinyanga,0,WUG,False,1970-01-01 00:00:00.000000000,handpump,other,good,enough,shallow well,hand pump,functional,10,42
0.0,2013-03-15,1368,Pangani,Kilimanjaro,1,Water Board,True,1970-01-01 00:00:00.000002009,gravity,monthly,good,enough,spring,communal standpipe,functional,3,43
0.0,2012-10-20,0,Internal,Shinyanga,0,WUG,True,1970-01-01 00:00:00.000000000,handpump,never pay,good,enough,shallow well,hand pump,functional,10,42
0.0,2011-08-04,1645,Lake Tanganyika,Rukwa,200,VWC,False,1970-01-01 00:00:00.000001991,handpump,never pay,good,enough,borehole,hand pump,functional,8,41
500.0,2011-07-04,1703,Rufiji,Iringa,35,WUA,True,1970-01-01 00:00:00.000001978,gravity,monthly,good,dry,river/lake,communal standpipe,non functional,7,41
0.0,2011-09-04,1656,Rufiji,Iringa,50,WUA,True,1970-01-01 00:00:00.000001978,gravity,on failure,good,dry,river/lake,communal standpipe,non functional,9,41
500.0,2011-02-22,1763,Lake Nyasa,Iringa,1,VWC,True,1970-01-01 00:00:00.000001992,gravity,annually,good,enough,spring,communal standpipe,functional,2,41
200.0,2011-02-27,2216,Lake Nyasa,Iringa,4,VWC,False,1970-01-01 00:00:00.000002008,gravity,monthly,good,enough,spring,communal standpipe,functional,2,41
0.0,2013-02-10,0,Lake Victoria,Shinyanga,0,WUG,False,1970-01-01 00:00:00.000000000,handpump,unknown,unknown,unknown,shallow well,hand pump,functional,2,43
0.0,2011-10-04,1510,Rufiji,Iringa,350,WUA,True,1970-01-01 00:00:00.000001978,gravity,never pay,good,enough,river/lake,communal standpipe,functional needs repair,10,41
500.0,2013-11-03,672,Pangani,Kilimanjaro,210,Water authority,True,1970-01-01 00:00:00.000002011,gravity,monthly,good,enough,river/lake,communal standpipe,functional,11,43
0.0,2013-01-21,1645,Lake Tanganyika,Kigoma,156,VWC,True,1970-01-01 00:00:00.000002009,gravity,unknown,good,enough,spring,improved spring,functional,1,43
0.0,2013-02-25,1273,Pangani,Kilimanjaro,140,VWC,True,1970-01-01 00:00:00.000001974,gravity,unknown,good,enough,spring,communal standpipe,functional needs repair,2,43
500.0,2013-01-16,200,Ruvuma/Southern Coast,Lindi,260,VWC,False,1970-01-01 00:00:00.000002011,handpump,monthly,good,enough,borehole,hand pump,functional,1,43
0.0,2013-03-05,1443,Pangani,Kilimanjaro,1,Company,True,1970-01-01 00:00:00.000002000,gravity,monthly,good,insufficient,spring,communal standpipe,non functional,3,43
0.0,2013-03-16,1256,Pangani,Kilimanjaro,1,Water Board,True,1970-01-01 00:00:00.000002002,gravity,monthly,good,enough,spring,communal standpipe,functional,3,43
0.0,2011-03-23,0,Wami/Ruvu,Dodoma,0,VWC,True,1970-01-01 00:00:00.000000000,handpump,never pay,good,insufficient,shallow well,hand pump,functional,3,41
50.0,2011-03-16,180,Wami/Ruvu,Pwani,150,WUA,True,1970-01-01 00:00:00.000002004,submersible,per bucket,good,enough,river/lake,communal standpipe,functional,3,41
0.0,2013-03-19,1481,Pangani,Kilimanjaro,180,Other,True,1970-01-01 00:00:00.000001972,gravity,never pay,good,insufficient,river/lake,other,functional needs repair,3,43
0.0,2011-03-11,1638,Lake Nyasa,Iringa,70,VWC,False,1970-01-01 00:00:00.000001992,gravity,on failure,good,seasonal,spring,communal standpipe,functional,3,41
0.0,2011-02-23,-41,Rufiji,Pwani,100,VWC,False,1970-01-01 00:00:00.000000000,handpump,never pay,salty,enough,shallow well,hand pump,functional,2,41
0.0,2011-07-16,0,Lake Nyasa,Mbeya,0,VWC,True,1970-01-01 00:00:00.000000000,gravity,never pay,good,dry,spring,communal standpipe,non functional,7,41
0.0,2011-03-27,0,Internal,Dodoma,0,VWC,False,1970-01-01 00:00:00.000000000,gravity,monthly,good,enough,spring,communal standpipe,functional,3,41
4000.0,2011-02-20,1955,Rufiji,Iringa,100,VWC,True,1970-01-01 00:00:00.000002003,gravity,annually,good,enough,river/lake,communal standpipe,functional,2,41
0.0,2013-02-11,1348,Lake Tanganyika,Kigoma,230,VWC,False,1970-01-01 00:00:00.000002002,handpump,unknown,good,seasonal,shallow well,hand pump,non functional,2,43
25.0,2013-10-03,710,Pangani,Kilimanjaro,50,Water Board,True,1970-01-01 00:00:00.000002008,submersible,per bucket,good,enough,borehole,communal standpipe,functional,10,43
500.0,2011-03-12,2469,Lake Nyasa,Iringa,0,VWC,False,1970-01-01 00:00:00.000001986,gravity,on failure,good,enough,spring,communal standpipe,functional,3,41
500.0,2011-07-07,1803,Rufiji,Iringa,250,WUG,True,1970-01-01 00:00:00.000002011,gravity,monthly,good,enough,spring,communal standpipe,functional,7,41
20.0,2013-03-18,1007,Pangani,Arusha,100,VWC,True,1970-01-01 00:00:00.000002000,gravity,per bucket,good,insufficient,spring,communal standpipe,functional needs repair,3,43
0.0,2012-10-22,0,Internal,Shinyanga,0,WUG,True,1970-01-01 00:00:00.000000000,wind-powered,on failure,good,enough,borehole,communal standpipe,non functional,10,42
20.0,2013-02-05,240,Ruvuma/Southern Coast,Mtwara,30,VWC,True,1970-01-01 00:00:00.000002004,gravity,per bucket,good,enough,spring,communal standpipe,functional needs repair,2,43
